CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11596,MR.,ROGER,RAJE,1963-09-03,M,M,roger41@adventure-works.com,40000.0,1.0,Bachelors,Skilled Manual,Y
11829,MRS.,SOPHIA,CAMPBELL,1969-11-02,M,F,sophia5@adventure-works.com,70000.0,5.0,Graduate Degree,Professional,Y
11926,MR.,EDUARDO,FOSTER,1978-03-18,S,M,eduardo60@adventure-works.com,40000.0,0.0,Partial College,Skilled Manual,N
12139,MR.,FRANKLIN,YANG,1933-03-15,M,M,franklin5@adventure-works.com,70000.0,4.0,Graduate Degree,Management,Y
12204,MR.,BRADLEY,JAI,1938-02-02,M,M,bradley13@adventure-works.com,120000.0,2.0,Graduate Degree,Management,Y
12415,MS.,BRIANNA,RICHARDSON,1966-11-02,S,F,brianna36@adventure-works.com,60000.0,0.0,Graduate Degree,Skilled Manual,N
13513,MRS.,ABIGAIL,HENDERSON,1941-09-08,M,F,abigail73@adventure-works.com,30000.0,1.0,Bachelors,Clerical,Y
13559,MS.,LORI,RAMOS,1969-06-17,S,F,lori18@adventure-works.com,50000.0,0.0,Graduate Degree,Skilled Manual,Y
13603,MRS.,MOLLY,MARTINEZ,1950-06-01,M,F,molly16@adventure-works.com,120000.0,4.0,Partial College,Management,Y
16600,MRS.,JANET,SUAREZ,1948-05-16,S,F,janet25@adventure-works.com,90000.0,4.0,High School,Management,Y
16781,MR.,DYLAN,CHEN,1945-06-18,M,M,dylan25@adventure-works.com,70000.0,5.0,Bachelors,Management,Y
16870,MRS.,ANDREA,MORGAN,1955-10-02,M,F,andrea22@adventure-works.com,60000.0,2.0,High School,Professional,N
16907,MRS.,SARAH,HALL,1939-03-21,S,F,sarah1@adventure-works.com,80000.0,4.0,Graduate Degree,Management,Y
16910,MR.,RYAN,DIAZ,1939-06-14,M,M,ryan25@adventure-works.com,120000.0,2.0,Graduate Degree,Management,Y
16980,MRS.,JILL,MOORE,1966-04-08,M,F,jill5@adventure-works.com,70000.0,4.0,Graduate Degree,Professional,Y
17009,MR.,WYATT,BUTLER,1968-10-26,S,M,wyatt64@adventure-works.com,70000.0,0.0,Bachelors,Professional,Y
17318,MRS.,TIFFANY,ZHANG,1965-12-18,M,F,tiffany0@adventure-works.com,80000.0,5.0,Bachelors,Professional,Y
