CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11007,MR.,MARCO,MEHTA,1964-05-09,M,M,marco14@adventure-works.com,60000.0,3.0,Bachelors,Professional,Y
11008,MRS.,ROBIN,VERHOFF,1964-07-07,S,F,rob4@adventure-works.com,60000.0,4.0,Bachelors,Professional,Y
11031,MRS.,THERESA,RAMOS,1947-08-22,M,F,theresa13@adventure-works.com,20000.0,4.0,High School,Skilled Manual,Y
11036,MS.,JENNIFER,RUSSELL,1978-12-18,M,F,jennifer93@adventure-works.com,60000.0,0.0,Partial College,Skilled Manual,Y
11070,MR.,WILLIE,RAJI,1955-04-05,M,M,willie40@adventure-works.com,80000.0,2.0,High School,Skilled Manual,Y
11071,MRS.,LINDA,SERRANO,1955-06-26,S,F,linda31@adventure-works.com,80000.0,2.0,High School,Skilled Manual,Y
11076,MR.,BLAKE,ANDERSON,1957-07-13,S,M,blake9@adventure-works.com,80000.0,2.0,High School,Professional,Y
11109,MR.,RUBEN,KAPOOR,1963-11-05,S,M,ruben1@adventure-works.com,70000.0,0.0,Bachelors,Professional,N
11114,MRS.,LESLIE,MORENO,1962-05-28,S,F,leslie7@adventure-works.com,70000.0,5.0,Partial College,Skilled Manual,Y
11134,MR.,LARRY,TOWNSEND,1946-02-26,S,M,larry14@adventure-works.com,10000.0,5.0,High School,Skilled Manual,Y
11141,MS.,NICOLE,RAMIREZ,1977-06-21,M,F,nicole42@adventure-works.com,40000.0,0.0,High School,Skilled Manual,N
11175,MR.,LUIS,WANG,1963-03-05,S,M,luis24@adventure-works.com,70000.0,0.0,Partial College,Skilled Manual,Y
11205,MRS.,ABBY,FERNANDEZ,1948-07-24,M,F,abby13@adventure-works.com,40000.0,2.0,High School,Professional,Y
11218,MRS.,OLIVIA,BROWN,1950-09-11,S,F,olivia4@adventure-works.com,60000.0,2.0,Partial College,Professional,N
11221,MR.,NATHAN,PERRY,1950-06-10,M,M,nathan3@adventure-works.com,70000.0,4.0,Partial College,Professional,Y
11237,MR.,CLARENCE,ANAND,1958-09-23,S,M,clarence36@adventure-works.com,130000.0,2.0,Bachelors,Management,N
11275,MRS.,JENNY,RAI,1934-01-18,M,F,jenny40@adventure-works.com,80000.0,4.0,Graduate Degree,Management,Y
11291,MRS.,JENNA,WRIGHT,1961-05-05,M,F,jenna19@adventure-works.com,130000.0,1.0,Bachelors,Management,Y
11307,MR.,HUNTER,RODRIGUEZ,1954-11-04,M,M,hunter53@adventure-works.com,80000.0,2.0,Partial High School,Skilled Manual,Y
11330,MR.,RYAN,THOMPSON,1940-05-13,M,M,ryan38@adventure-works.com,110000.0,2.0,Graduate Degree,Management,Y
11335,MRS.,CARLA,RAMAN,1961-06-24,M,F,carla14@adventure-works.com,10000.0,1.0,Bachelors,Manual,Y
11368,MR.,EDWARD,MILLER,1978-11-25,S,M,edward28@adventure-works.com,10000.0,1.0,High School,Manual,N
11369,MS.,ASHLEE,TANG,1978-08-04,M,F,ashlee11@adventure-works.com,20000.0,0.0,Bachelors,Clerical,N
11415,MR.,RANDY,SHE,1944-06-05,S,M,randy25@adventure-works.com,90000.0,5.0,Partial College,Professional,N
11420,MR.,JORDAN,TURNER,1946-07-12,M,M,jordan59@adventure-works.com,100000.0,2.0,Bachelors,Management,Y
11446,MS.,BETHANY,CHANDER,1974-08-12,S,F,bethany19@adventure-works.com,70000.0,0.0,Bachelors,Professional,N
11451,MR.,RUBEN,MUÑOZ,1974-11-09,S,M,ruben30@adventure-works.com,70000.0,0.0,Bachelors,Professional,N
11459,MS.,TASHA,DENG,1972-10-13,S,F,tasha1@adventure-works.com,80000.0,0.0,Bachelors,Professional,N
11466,MR.,GRANT,TANG,1971-08-03,M,M,grant6@adventure-works.com,150000.0,0.0,Partial High School,Management,Y
11469,MR.,EDWIN,RAJI,1973-04-16,S,M,edwin44@adventure-works.com,10000.0,0.0,Partial High School,Manual,N
11487,MS.,MORGAN,JONES,1971-07-09,S,F,morgan26@adventure-works.com,10000.0,0.0,Partial High School,Manual,N
11488,MR.,JERMAINE,LOPEZ,1971-09-21,S,M,jermaine15@adventure-works.com,20000.0,0.0,Partial High School,Manual,Y
11505,MS.,JASMINE,POWELL,1966-07-07,S,F,jasmine48@adventure-works.com,60000.0,0.0,Graduate Degree,Skilled Manual,Y
11712,MRS.,SHELBY,ROGERS,1962-11-03,M,F,shelby19@adventure-works.com,70000.0,1.0,Partial College,Skilled Manual,Y
11713,MR.,KYLE,ZHANG,1962-03-20,M,M,kyle19@adventure-works.com,70000.0,1.0,Partial College,Skilled Manual,Y
11737,MRS.,MEGAN,MARTIN,1959-02-08,M,F,megan17@adventure-works.com,60000.0,4.0,Bachelors,Professional,Y
11738,MR.,ELIJAH,ALEXANDER,1959-10-09,M,M,elijah20@adventure-works.com,60000.0,4.0,Bachelors,Professional,Y
11759,MRS.,DAWN,NATH,1969-11-22,M,F,dawn42@adventure-works.com,110000.0,1.0,Graduate Degree,Management,N
11782,MRS.,BARBARA,JAI,1971-03-17,M,F,barbara42@adventure-works.com,60000.0,1.0,Graduate Degree,Skilled Manual,Y
11809,MR.,JUAN,GRAY,1968-01-02,M,M,juan16@adventure-works.com,60000.0,2.0,Bachelors,Skilled Manual,Y
11878,MRS.,CHRISTINE,NARA,1960-02-08,M,F,christine12@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,Y
11885,MR.,KURT,SHARMA,1959-09-25,M,M,kurt9@adventure-works.com,80000.0,2.0,Graduate Degree,Professional,Y
11925,MS.,ASHLEE,JAI,1978-11-06,S,F,ashlee18@adventure-works.com,40000.0,0.0,Partial College,Skilled Manual,Y
11962,MS.,ALEXANDRA,ROBERTS,1976-11-28,S,F,alexandra47@adventure-works.com,60000.0,0.0,Partial College,Professional,N
11964,MR.,SHARON,SALAVARIA,1956-02-17,S,M,sharon4@adventure-works.com,70000.0,2.0,High School,Skilled Manual,N
11987,MRS.,DIANE,VAZQUEZ,1967-11-27,M,F,diane19@adventure-works.com,90000.0,4.0,Bachelors,Professional,Y
11988,MRS.,KATHRYN,CHAPMAN,1962-08-20,S,F,kathryn14@adventure-works.com,70000.0,1.0,Partial College,Skilled Manual,Y
11999,MR.,JOHNNY,SHAN,1960-06-05,M,M,johnny11@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,Y
12004,MR.,JARROD,SURI,1963-12-20,S,M,jarrod0@adventure-works.com,70000.0,0.0,Bachelors,Professional,N
12009,MRS.,ANN,MARTINEZ,1957-08-03,S,F,ann22@adventure-works.com,80000.0,1.0,Partial College,Skilled Manual,Y
12052,MS.,MAKAYLA,WARD,1967-05-27,S,F,makayla11@adventure-works.com,120000.0,0.0,Bachelors,Management,N
12065,MR.,ISAIAH,COLLINS,1944-07-03,M,M,isaiah24@adventure-works.com,70000.0,4.0,Bachelors,Management,Y
12075,MR.,CAMERON,GRIFFIN,1944-06-26,S,M,cameron16@adventure-works.com,60000.0,4.0,Bachelors,Management,Y
12099,MRS.,SYDNEY,HALL,1949-11-18,S,F,sydney86@adventure-works.com,60000.0,2.0,Partial College,Professional,N
12112,MRS.,ARIANNA,HENDERSON,1950-06-09,M,F,arianna5@adventure-works.com,70000.0,4.0,Partial College,Professional,Y
12128,MRS.,KRISTY,MUNOZ,1956-12-16,M,F,kristy7@adventure-works.com,120000.0,3.0,High School,Professional,Y
12131,MR.,RANDALL,DOMINGUEZ,1955-10-17,M,M,randall14@adventure-works.com,90000.0,2.0,High School,Professional,N
12151,MR.,STEVEN,KELLY,1964-05-12,M,M,steven12@adventure-works.com,130000.0,2.0,Bachelors,Management,Y
12163,MR.,AARON,WANG,1963-09-05,S,M,aaron24@adventure-works.com,150000.0,2.0,Bachelors,Management,N
12188,MRS.,ASHLEY,THOMAS,1960-05-23,S,F,ashley11@adventure-works.com,110000.0,3.0,Partial College,Professional,Y
