CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11010,MS.,JACQUELYN,SUAREZ,1964-02-06,S,F,jacquelyn20@adventure-works.com,70000.0,0.0,Bachelors,Professional,N
11113,MR.,MICHEAL,BLANCO,1962-02-21,M,M,micheal11@adventure-works.com,70000.0,5.0,Bachelors,Professional,Y
11276,MRS.,NANCY,CHAPMAN,1963-09-19,M,F,nancy7@adventure-works.com,80000.0,4.0,Partial College,Professional,Y
11285,MR.,JEREMY,ANDERSON,1962-03-19,M,M,jeremy2@adventure-works.com,120000.0,1.0,Partial College,Professional,N
11339,MR.,DENNIS,SHE,1961-07-08,S,M,dennis25@adventure-works.com,20000.0,1.0,Graduate Degree,Clerical,Y
11352,MR.,RAYMOND,RODRIGUEZ,1940-03-07,M,M,raymond20@adventure-works.com,10000.0,2.0,Partial College,Manual,Y
11437,MR.,ALFREDO,MORENO,1949-12-17,M,M,alfredo7@adventure-works.com,90000.0,4.0,High School,Management,Y
11717,MR.,MARCUS,JONES,1961-09-02,M,M,marcus3@adventure-works.com,60000.0,1.0,Partial College,Skilled Manual,N
11754,MRS.,JANET,ORTEGA,1970-07-08,M,F,janet27@adventure-works.com,90000.0,2.0,Bachelors,Professional,Y
11812,MR.,ANDREW,RODRIGUEZ,1967-09-22,M,M,andrew27@adventure-works.com,40000.0,0.0,Bachelors,Professional,N
11874,MR.,ADRIAN,BELL,1967-03-10,S,M,adrian15@adventure-works.com,60000.0,0.0,Bachelors,Professional,N
11906,MRS.,GABRIELLA,SANDERS,1967-02-18,M,F,gabriella1@adventure-works.com,80000.0,5.0,Graduate Degree,Management,Y
12130,MRS.,SUZANNE,ZHOU,1956-08-12,S,F,suzanne10@adventure-works.com,120000.0,3.0,High School,Professional,Y
12345,MS.,ALISON,RAJE,1975-06-27,S,F,alison14@adventure-works.com,80000.0,0.0,Bachelors,Professional,Y
12399,MR.,HENRY,CHAPMAN,1971-09-12,S,M,henry4@adventure-works.com,40000.0,2.0,Partial College,Clerical,Y
12816,MRS.,TAMMY,MEHTA,1966-06-24,S,F,tammy14@adventure-works.com,10000.0,5.0,Partial High School,Manual,Y
13329,MR.,JAKE,WANG,1939-03-05,M,M,jake1@adventure-works.com,90000.0,5.0,Bachelors,Management,Y
13393,MR.,WILLIE,KUMAR,1951-04-18,M,M,willie27@adventure-works.com,70000.0,2.0,High School,Professional,Y
13433,MRS.,JESSIE,VAZQUEZ,1956-03-11,S,F,jessie33@adventure-works.com,90000.0,2.0,Partial College,Professional,Y
13550,MR.,JOE,MALHOTRA,1969-06-01,S,M,joe9@adventure-works.com,20000.0,0.0,Partial College,Manual,N
14462,MRS.,BETH,SANZ,1962-07-02,M,F,beth22@adventure-works.com,110000.0,1.0,Bachelors,Management,Y
14736,MR.,JACK,ROBERTS,1954-05-11,M,M,jack39@adventure-works.com,20000.0,3.0,Partial High School,Manual,N
14968,MR.,TROY,PATEL,1964-07-06,M,M,troy3@adventure-works.com,40000.0,1.0,Bachelors,Skilled Manual,Y
